,topbuysell,ecvv,made_in_china,crmz,linkedin,gongchang,globalmarket,kompass,amfibi,israelwtc,europages,wikipedia,zoominfo,tradekey,toboc,b2bindex,yahoo,alibaba,bloomberg,iqs,hktdc,rusmarket,thomasnet,ec21,hoovers,qmed
0,"('company', 80)","('products', 8296)","('products', 862)","('company', 8627)","('company', 57394)","('products', 39459)","('products', 2075)","('de', 9254)","('service', 1213)","('products', 89)","('activities', 1743)","('company', 586)","('company', 3280)","('products', 16385)","('products', 635)","('business', 177)","('company', 1432)","('products', 13595)","('company', 48215)","('products', 335)","('products', 2580)","('products', 3182)","('include', 149568)","('products', 24230)","('nsk', 9022)","('company', 94)"
1,"('products', 70)","('quality', 5640)","('quality', 679)","('services', 2996)","('located', 48880)","('company', 31244)","('quality', 1583)","('le', 3049)","('services', 1127)","('quality', 53)","('manufacture', 1487)","('states', 176)","('description', 2599)","('quality', 10811)","('quality', 414)","('services', 157)","('services', 1228)","('quality', 9081)","('based', 29099)","('quality', 196)","('less', 2125)","('company', 2637)","('products', 94500)","('quality', 15358)","('nec', 3128)","('medical', 75)"
2,"('quality', 40)","('company', 5385)","('company', 448)","('products', 2895)","('united', 44444)","('quality', 24936)","('company', 1532)","('est', 2927)","('business', 839)","('oil', 51)","('products', 1219)","('1', 173)","('services', 1234)","('company', 10397)","('company', 326)","('design', 155)","('products', 1088)","('company', 7665)","('services', 28093)","('custom', 181)","('quality', 1823)","('quality', 1947)","('business', 77686)","('company', 15195)","('services', 1974)","('products', 58)"
3,"('production', 39)","('co', 3456)","('high', 362)","('engaged', 2693)","('states', 36387)","('high', 12992)","('production', 1082)","('la', 2252)","('company', 663)","('company', 47)","('farming', 1182)","('united', 162)","('service', 1146)","('ltd', 5846)","('customers', 233)","('web', 116)","('provides', 638)","('customers', 5078)","('operates', 21122)","('high', 141)","('us', 1194)","('production', 1149)","('thomasnet', 75743)","('co', 8603)","('products', 840)","('quality', 49)"
4,"('service', 38)","('ltd', 3436)","('co', 339)","('based', 2153)","('de', 21780)","('co', 12360)","('high', 963)","('en', 2155)","('home', 546)","('china', 40)","('sale', 1140)","('inc', 151)","('business', 966)","('co', 5836)","('high', 222)","('clients', 113)","('inc', 554)","('production', 3986)","('offers', 18450)","('industrial', 137)","('ltd', 1194)","('high', 1117)","('promote', 74780)","('high', 8505)","('work', 665)","('services', 48)"
5,"('ltd', 34)","('high', 3070)","('service', 332)","('business', 2022)","('services', 17937)","('ltd', 12296)","('co', 915)","('et', 2052)","('products', 501)","('ltd', 38)","('equipment', 1056)","('new', 137)","('provide', 749)","('business', 5763)","('co', 217)","('service', 110)","('offers', 550)","('high', 3934)","('provides', 17745)","('manufacturing', 127)","('company', 1116)","('ltd', 1091)","('manufacturer', 71583)","('ltd', 8315)","('miscellaneous', 613)","('manufacturing', 46)"
6,"('co', 33)","('production', 2803)","('ltd', 330)","('operates', 1400)","('business', 10766)","('customers', 12275)","('ltd', 898)","('l', 1918)","('provide', 482)","('high', 35)","('elsewhere', 797)","('based', 135)","('quality', 692)","('high', 5712)","('ltd', 216)","('uk', 109)","('well', 466)","('us', 3721)","('inc', 17387)","('us', 124)","('co', 1076)","('co', 1065)","('top', 68754)","('customers', 7464)","('equipment', 569)","('iso', 43)"
7,"('high', 31)","('china', 2778)","('customers', 327)","('limited', 1385)","('st', 10145)","('production', 10987)","('customers', 732)","('sous', 1702)","('quality', 465)","('series', 34)","('classified', 797)","('services', 133)","('us', 688)","('china', 5060)","('production', 185)","('company', 102)","('founded', 437)","('service', 3628)","('products', 16726)","('industries', 123)","('high', 1069)","('china', 1025)","('search', 67338)","('production', 6967)","('business', 562)","('custom', 38)"
8,"('system', 30)","('customers', 2778)","('production', 324)","('segment', 1327)","('en', 10004)","('us', 10464)","('development', 657)","('societe', 1521)","('design', 458)","('services', 34)","('services', 792)","('2', 131)","('new', 654)","('customers', 5001)","('china', 172)","('solutions', 94)","('also', 434)","('business', 3544)","('subsidiary', 14562)","('steel', 122)","('customers', 722)","('service', 887)","('results', 67177)","('china', 6922)","('steel', 507)","('solutions', 34)"
9,"('machine', 27)","('service', 2608)","('china', 299)","('ltd', 1240)","('e', 9912)","('service', 10358)","('china', 645)","('y', 1518)","('repair', 403)","('co', 33)","('construction', 781)","('3', 123)","('care', 636)","('production', 4768)","('service', 171)","('provide', 80)","('management', 401)","('ltd', 3521)","('founded', 14456)","('services', 121)","('contact', 720)","('customers', 878)","('want', 67075)","('service', 6371)","('carpentry', 505)","('systems', 34)"
